ALLOY_NUMBER,FEM TAG,ALLOY COMPOSITION,INDENTOR TYPE,MAXIMUM TOTAL DEFORMATION(mm),MAXIMUM EQUIVALENT PLASTIC STRAIN,MAXIMUM EQUIVALENT STRESS (MPa),MAXIMUM FORCE REACTION (N),PROCESS,PREDICTED_PHASE,PROCESS_PHASE_SIGNATURE,SIGNATURE_OBSERVATION_PROBABILITY,PREDICTED_HV,RANK_SCORE,PARETO_OPTIMAL,NOVELTY_SCORE,NOVELTY_COSINE,NOVELTY_EUCLIDEAN,NEAREST_TRAIN_ID,NEAREST_TRAIN_FORMULA,NEAREST_TRAIN_PROCESS,NEAREST_TRAIN_PHASE,AD_DISTANCE,AD_DISTANCE_SQ,AD_TIER,NUM_ELEMENTS,CONFIG_ENTROPY,VEC,DELTA_RADIUS,DELTA_CHI,H_MIX,OMEGA,OMEGA_FINITE,MAX_ELEMENT,AD_PERCENTILE,GENERATED_ALLOY_FLAG,GENERATION_METHOD,ALLOY_CLASS,PROCESS_CLASS
1,12457,Mo12.5Ti16.8Nb18.4Zr18.3Ta18.7Hf15.4,VICKERS,8.78E-02,0.36409,1585.8,1449.2,AS,CAST_BCC,AS_CAST_BCC,1,505.5770264,0.5520508099,FALSE,2,0.1412661491,3.296450708,1383446b718b196fbb69a8e3a5d2e72e886211eed7a6a3eb1bd86ecdfeb1a725,Mo4.8Ti19Nb19Zr19Ta19Hf19,AS_CAST,BCC,57.96735379,3360.214105,CORE_DOMAIN,6,14.82060909,4.620149612,4.870800018,0.2565075457,-0.08695215732,,0,0.1867221594,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Refractory MPEA,CASTING_AND_MELTING
2,23586,Co18.1Fe20.2Ni18Cr19.8Mn23.9,VICKERS,0.10567,0.5333,1125.3,1247,POWDER,MET_FCC,POWDER_MET_FCC,0.1538461596,322.4632874,0.3121053454,FALSE,1,0.04403291315,1.940685241,8d6cd03eacd83119c91d2d2904bf9a5f6fcea8afbc4d6b3b0446645d994a2984,Co20Fe20Ni20Cr20Mn20,AS_CAST,FCC_BCC,6.83499295,46.71712862,CORE_DOMAIN,5,13.33423519,7.906208038,1.0996418,0.1418465674,-4.031511784,5.925136089,1,0.2391771376,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Cantor-Derivative,POWDER_METALLURGY
3,50205,Al11.6Fe17.5Ni23.9Cr17.1Mo10Ti19.9,VICKERS,8.65E-02,0.3457,2550.2,1996.2,AS,CAST_BCC_B2,AS_CAST_BCC_B2,1,732.5187988,0.7478144773,TRUE,3,0.3243941226,2.918017816,c16c6e19cdd7ae0c695a2d84be338cdc476a904421afe4747fd815bf3a0167cf,Al25Co16.7Fe16.7Ni16.7Cr16.7Mo8.3,AS_CAST,INTERMETALLIC,7.402209157,54.79270041,CORE_DOMAIN,6,14.55416107,6.56114912,6.96899128,0.190153107,-19.8362999,1.384770036,1,0.2394171059,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Complex-Concentrated (Mixed),CASTING_AND_MELTING
4,64391,Al21.4Co8.3Fe18.6Ni14Cr20.5Mo17.3,VICKERS,8.53E-02,0.33902,2975.7,2222.7,AS,CAST_BCC,AS_CAST_BCC,0.4285714328,837.7491455,0.7272152607,TRUE,2,0.1169173632,2.274808652,f321c907b2baa1a44017328ed49b5daaf552fb3596fe8eeab6c88359efe77fcc,Al20Co20Fe20Ni10Cr20Mo10,AS_CAST,INTERMETALLIC,6.37584335,40.65137842,CORE_DOMAIN,6,14.56882763,6.538486481,5.738034248,0.190036431,-10.93207455,2.494159222,1,0.2137124836,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Cantor-Derivative,CASTING_AND_MELTING
5,103655,Co15.2Fe14.1Ni15.2Mo30.6V24.9,VICKERS,9.07E-02,0.38589,2251.6,2027.1,AS,CAST_FCC,AS_CAST_FCC,1,661.8726807,0.6093611451,FALSE,3,0.3549180228,3.177222113,da50d780e877ef65e0e9ae5aaa62c7312f64d68dc98c5a49bff3bd4531345a37,Co18.5Fe18.5Ni25.9Mo18.5V18.5,AS_CAST,FCC,9.372580084,87.84525743,CORE_DOMAIN,5,12.94720364,7.096711159,4.688100338,0.1990421265,-8.662227631,3.313319445,1,0.3062602878,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Refractory MPEA,CASTING_AND_MELTING
1,12457,Mo12.5Ti16.8Nb18.4Zr18.3Ta18.7Hf15.4,BERKOVICH,7.72E-02,0.278,1758.7,1453.3,AS,CAST_BCC,AS_CAST_BCC,1,505.5770264,0.5520508099,FALSE,2,0.1412661491,3.296450708,1383446b718b196fbb69a8e3a5d2e72e886211eed7a6a3eb1bd86ecdfeb1a725,Mo4.8Ti19Nb19Zr19Ta19Hf19,AS_CAST,BCC,57.96735379,3360.214105,CORE_DOMAIN,6,14.82060909,4.620149612,4.870800018,0.2565075457,-0.08695215732,,0,0.1867221594,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Refractory MPEA,CASTING_AND_MELTING
2,23586,Co18.1Fe20.2Ni18Cr19.8Mn23.9,BERKOVICH,8.89E-02,0.37846,1282.3,1235.1,POWDER,MET_FCC,POWDER_MET_FCC,0.1538461596,322.4632874,0.3121053454,FALSE,1,0.04403291315,1.940685241,8d6cd03eacd83119c91d2d2904bf9a5f6fcea8afbc4d6b3b0446645d994a2984,Co20Fe20Ni20Cr20Mn20,AS_CAST,FCC_BCC,6.83499295,46.71712862,CORE_DOMAIN,5,13.33423519,7.906208038,1.0996418,0.1418465674,-4.031511784,5.925136089,1,0.2391771376,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Cantor-Derivative,POWDER_METALLURGY
3,50205,Al11.6Fe17.5Ni23.9Cr17.1Mo10Ti19.9,BERKOVICH,7.57E-02,0.26265,2597.9,2009.1,AS,CAST_BCC_B2,AS_CAST_BCC_B2,1,732.5187988,0.7478144773,TRUE,3,0.3243941226,2.918017816,c16c6e19cdd7ae0c695a2d84be338cdc476a904421afe4747fd815bf3a0167cf,Al25Co16.7Fe16.7Ni16.7Cr16.7Mo8.3,AS_CAST,INTERMETALLIC,7.402209157,54.79270041,CORE_DOMAIN,6,14.55416107,6.56114912,6.96899128,0.190153107,-19.8362999,1.384770036,1,0.2394171059,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Complex-Concentrated (Mixed),CASTING_AND_MELTING
4,64391,Al21.4Co8.3Fe18.6Ni14Cr20.5Mo17.3,BERKOVICH,7.43E-02,0.25367,2942.1,2232.3,AS,CAST_BCC,AS_CAST_BCC,0.4285714328,837.7491455,0.7272152607,TRUE,2,0.1169173632,2.274808652,f321c907b2baa1a44017328ed49b5daaf552fb3596fe8eeab6c88359efe77fcc,Al20Co20Fe20Ni10Cr20Mo10,AS_CAST,INTERMETALLIC,6.37584335,40.65137842,CORE_DOMAIN,6,14.56882763,6.538486481,5.738034248,0.190036431,-10.93207455,2.494159222,1,0.2137124836,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Cantor-Derivative,CASTING_AND_MELTING
5,103655,Co15.2Fe14.1Ni15.2Mo30.6V24.9,BERKOVICH,7.94E-02,0.28886,2421.3,1971.2,AS,CAST_FCC,AS_CAST_FCC,1,661.8726807,0.6093611451,FALSE,3,0.3549180228,3.177222113,da50d780e877ef65e0e9ae5aaa62c7312f64d68dc98c5a49bff3bd4531345a37,Co18.5Fe18.5Ni25.9Mo18.5V18.5,AS_CAST,FCC,9.372580084,87.84525743,CORE_DOMAIN,5,12.94720364,7.096711159,4.688100338,0.1990421265,-8.662227631,3.313319445,1,0.3062602878,90,1,CLUSTERED_MANIFOLD_DIRICHLET,Refractory MPEA,CASTING_AND_MELTING
